File Name,Reference,Verse
0-16.pn.jpg," ಕುವೆಂಪು
","ಪುಸ್ತಕವು ಜೀವನದ ಒಂದು ದೀಪ, ಅದನ್ನು ಬೆಳಗಿಸಿದರೆ ಜ್ಞಾನದ ಬೆಳಕು ನಿಮ್ಮ ಮನೆಯನ್ನು ತುಂಬುತ್ತದೆ. "
1-11.pn.jpg," ಶಿವರಾಮ ಕಾಂತರಾಜ
","ಒಳ್ಳೆಯ ಪುಸ್ತಕವು ಒಳ್ಳೆಯ ಸ್ನೇಹಿತನಂತೆ, ನಿಮ್ಮ ದುಃಖವನ್ನು ಹಂಚಿಕೊಳ್ಳುತ್ತದೆ ಮತ್ತು ನಿಮ್ಮ ಸಂತೋಷವನ್ನು ದ್ವಿಗುಣಗೊಳಿಸುತ್ತದೆ. "
2-14.pn.jpg," ಟಿ.ಎಸ್. ರಂಗಪ್ಪ
","ಪುಸ್ತಕಗಳು ಓದುವುದನ್ನು ಒಂದು ಚಟವನ್ನಾಗಿ ಮಾಡಿಕೊಳ್ಳಿ, ಅದು ನಿಮ್ಮ ಜೀವನವನ್ನು ಒಂದು ಉತ್ಸವವನ್ನಾಗಿ ಮಾಡುತ್ತದೆ. "
3-1.pn.jpg," ಗಾಲ್ವಾನಪ್ಪ
",ಪುಸ್ತಕಗಳು ಕಾಲದ ಗಡಿಗಳನ್ನು ಮೀರಿ ಜ್ಞಾನವನ್ನು ಒಂದು ತಲೆಮಾರಿನಿಂದ ಮತ್ತೊಂದು ತಲೆಮಾರಿಗೆ ಸಾಗಿಸುವ ಸೇತುವೆಗಳಾಗಿವೆ. 
4-8.pn.jpg," ಕೆ.ಎಸ್. ನೀಲಕಂಠ
","ಪುಸ್ತಕಗಳು ಒಂದು ಜಗತ್ತಿನಿಂದ ಮತ್ತೊಂದು ಜಗತ್ತಿಗೆ ಪ್ರಯಾಣಿಸಲು ನಿಮಗೆ ಅವಕಾಶ ನೀಡುತ್ತವೆ, ಅದನ್ನು ತೊರೆಯದೆ. "
5-19.pn.jpg," ಕೆ.ವಿ. ಪುಟ್ಟಣ್ಣ
",ಪುಸ್ತಕಗಳು ನಿಮ್ಮ ಕಲ್ಪನೆಯನ್ನು ಉರಿದುಕೊಳ್ಳಲು ಮತ್ತು ನಿಮ್ಮ ಕನಸುಗಳನ್ನು ಹಾರಲು ಸ್ಪಂದನಶೀಲರನ್ನಾಗಿ ಮಾಡುತ್ತವೆ. 
6-17.pn.jpg," ಡಿ.ವಿ. ಗುಂಡಪ್ಪ
",ಪುಸ್ತಕಗಳು ನಿಮ್ಮ ಜೀವನವನ್ನು ಹೊಸ ಕಣ್ಣುಗಳಿಂದ ನೋಡಲು ಮತ್ತು ನಿಮ್ಮ ಸುತ್ತಲಿನ ಪ್ರಪಂಚವನ್ನು ಉತ್ತಮವಾಗಿ ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತವೆ. 
7-4.pn.jpg," ಅನಂತ್ ನಾಗರಾಜ
",ಪುಸ್ತಕಗಳು ನಿಮ್ಮನ್ನು ಒಬ್ಬ ಉತ್ತಮ ವ್ಯಕ್ತಿಯನ್ನಾಗಿ ಮಾಡಲು ಮತ್ತು ಜಗತ್ತಿನಲ್ಲಿ ಒಂದು ವ್ಯತ್ಯಾಸವನ್ನು ಮಾಡಲು ಸಹಾಯ ಮಾಡುತ್ತವೆ. 
8-15.pn.jpg," ಗಿರೀಶ್ ಕಾರ್ನಾಡ್
",ಪುಸ್ತಕಗಳು ಜೀವನದುದ್ದಕ್ಕೂ ನಿಮ್ಮೊಂದಿಗೆ ಇರುವ ನಿಧಿಗಳಾಗಿವೆ. 
9-9.pn.jpg," ಚಂದ್ರಶೇಖರ ಕಂಬಾರ
","ಪುಸ್ತಕಗಳನ್ನು ಓದುವುದು ಒಂದು ಅದ್ಭುತವಾದ ಅನುಭವ, ಅದನ್ನು ಪ್ರತಿಯೊಬ್ಬರೂ ಅನುಭವಿಸಬೇಕು. "
10-12.pn.jpg," ಯು.ಆರ್. ಅನಂತಮೂರ್ತಿ
","ಪುಸ್ತಕಗಳು ನಿಮ್ಮ ಮನಸ್ಸಿಗೆ ಆಹಾರ, ನಿಮ್ಮ ಆತ್ಮಕ್ಕೆ ಪೋಷಣೆ ಮತ್ತು ನಿಮ್ಮ ಜೀವನಕ್ಕೆ ಬೆಳಕು ನೀಡುತ್ತವೆ. "
11-13.pn.jpg," ಶ್ರೀನಿವಾಸ ರಾಮಾನುಜನ್
","ಪುಸ್ತಕಗಳು ನಿಮ್ಮನ್ನು ಒಬ್ಬ ಉತ್ತಮ ಓದುಗ, ಚಿಂತಕ ಮತ್ತು ಸೃಷ್ಟಿಕರ್ತನನ್ನಾಗಿ ಮಾಡಲು ಸಹಾಯ ಮಾಡುತ್ತವೆ. "
12-6.pn.jpg," ಕೆ. ಸಿದ್ದಲಿಂಗಯ್ಯ
",ಪುಸ್ತಕಗಳು ನಿಮ್ಮ ಜೀವನವನ್ನು ಸಮೃದ್ಧಗೊಳಿಸಲು ಮತ್ತು ಅದನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಬದುಕಲು ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತವೆ. 
13-7.pn.jpg,,"ಪುಸ್ತಕಗಳು ನಮ್ಮ ಬದುಕನ್ನು ಬೆಳಗಬಲ್ಲ ದೀವಿಗೆಗಳು. ಮನುಷ್ಯ ಪುಸ್ತಕಗಳಿಂದ ತನ್ನದಲ್ಲದ ಅನುಭವಗಳನ್ನು ತನ್ನದಾಗಿಸಿಕೊಳ್ಳುತ್ತಾನೆ. 
"
14-2.pn.jpg,,"ಪುಸ್ತಕಗಳನ್ನು ಓದುವುದು, ಸಂಗ್ರಹಿಸಿವುದು ಒಂದು ಅತ್ತುತ್ಯಮ ಹವ್ಯಾಸ. ತಾನಿರುವ ಸ್ಥಳದಲ್ಲಿಯೇ ಲೋಕದ ಅನುಭವಗಳನ್ನು ಪಡೆಯುವ ಅವಕಾಶ ಲಭಿಸುತ್ತದೆ.  
"
15-3.pn.jpg,,"ಪುಸ್ತಕಗಳು ನಮಗೆ ಬದುಕುವದನ್ನು, ವಿಚಾರ ಮಾಡುವುದನ್ನು, ಆಲೋಚಿಸುವುದನ್ನು ಕಲಿಸುತ್ತವೆ.     
"
16-5.pn.jpg,,"ಒಬ್ಬ ವ್ಯಕ್ತಿಯ ಭೌದ್ದಿಕ ಪ್ರಭುದ್ದತೆ ಬರುವುದೇ ಪುಸ್ತಕ ಓದುವುದರಿಂದ, ಓದು ನಮ್ಮ ಮನೋವೈಶಾಲ್ಯತೆಯನ್ನು ಹೆಚ್ಚಿಸುವ ಬಹುದೊಡ್ಡ ಸಾಧನ. 
"
17-18.pn.jpg,,"ಮೌಲ್ಯಗಳನ್ನು ವ್ಯಕ್ತಿಗಳ ಮನಸ್ಸಿನಲ್ಲಿ ಆಳವಾಗಿ ಬಿತ್ತುವುರದಲ್ಲಿ ಪುಸ್ತಕಗಳ ಪಾತ್ರ ಬಹಳ ಮಹತ್ತರವಾದದ್ದು . 
"
